Identifier,Strain,Country,154,424,577,580,802,960,1644,1955,2059,2163b,2165,2347,2401,2461,2531,2687,2996,3007,3171,3192,3690,4052,4156,4348,INH,SM,EMB,RMP,PZA
2597/02,M. tuberculosis,Ghana,2,2,3,2,5,3,3,4,2,3,3,4,4,2,5,1,4,3,2,3,3,6,1,3,s,s,s,s,s
2637/02,M. tuberculosis,Delhi/CAS,2,5,2,2,3,5,5,4,2,2,4,4,2,2,6,1,7,3,3,5,2,8,4,2,s,s,s,s,s
2679/03,M. tuberculosis,URAL,2,3,4,3,2,9,2,3,2,1,5,4,4,2,5,1,1,3,3,3,3,8,3,2,s,s,s,s,s
282/04,M. tuberculosis,S,2,3,4,3,6,3,3,1,2,5,4,4,2,2,5,1,3,3,3,3,3,5,0,2,?,?,?,?,?
287/99,M. microti,vole,2,3,5,4,2,5,6,3,1,6,9,3,4,3,4,2,2,2,3,1,3,9,3,2,?,?,?,?,?
3040/99,M. canetti,Canetti,3,3,3,1,6,3,3,2,1,11,10,5,5,6,8,6,7,2,2,6,4,6,1,3,?,?,?,?,?
3041/99,M. canetti,Canetti,3,3,6,2,8,3,2,3,1,11,10,5,2,4,2,6,3,2,4,4,2,5,1,2,?,?,?,?,?
3103/03,M. tuberculosis,Haarlem,2,2,3,2,3,5,3,3,2,5,3,2,4,2,3,1,5,3,3,3,3,7,3,2,s,s,s,s,s
3243/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,3,4,4,4,2,5,1,7,3,3,5,3,7,2,3,r,r,r,r,s
3256/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,6,4,4,4,2,5,1,5,3,3,5,3,8,2,3,r,r,r,r,s
3262/02,M. tuberculosis,LAM,1,3,2,2,4,4,3,3,2,2,2,4,1,2,5,1,5,3,3,2,2,6,2,2,r,r,r,s,s
3270/04,M. tuberculosis,S,2,2,4,3,6,3,2,1,2,2,4,4,2,2,5,1,5,3,2,3,1,9,2,2,?,?,?,?,?
3277/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,6,4,4,4,2,5,1,5,3,3,5,3,8,2,3,r,r,r,s,r
3309/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,6,4,4,4,2,5,1,5,3,3,5,3,8,2,4,r,r,r,r,s
3310/02,M. tuberculosis,LAM,1,4,2,2,5,4,3,3,2,2,2,4,1,2,5,1,4,3,3,2,2,6,2,2,r,r,r,r,s
3329/02,M. tuberculosis,Beijing,2,4,4,2,3,3,3,5,2,6,4,4,4,2,5,1,5,3,3,5,3,7,2,3,r,r,r,r,s
